Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
89,09/09/2026,15:55,Demande,Audit de sécurité,Scan des vulnérabilités,In progress,Medium,[]
90,11/09/2026,09:20,Incident,Problème d'heure système,Se remet à l'ancienne,New,Low,"[""MN-FORM-004"",""TL-ADM-001"",""PC-ADM-005""]"
91,13/09/2026,11:45,Incident,Logiciel de visio sans son,Micro désactivé,Closed,High,"[""PC-COMPTA-001"",""PC-ADM-007"",""PC-LAB-004"",""MN-ADM-003"",""PC-COMPTA-005""]"
92,15/09/2026,14:10,Demande,Récupération de fichiers supprimés,Corbeille vidée,In progress,Medium,[]
93,17/09/2026,16:35,Incident,Écran secondaire clignote,Problème câble,New,Low,"[""PC-FORM-002"",""MN-ADM-002"",""PC-COMPTA-008"",""TL-LAB-003""]"
94,19/09/2026,08:00,Incident,Plus d'alimentation sur prise USB,Port HS,Closed,High,"[""PC-ADM-005"",""TL-BIB-002"",""MN-LAB-001"",""PC-COMPTA-007"",""PC-COMPTA-003""]"
95,21/09/2026,10:25,Demande,Changer mot de passe session,Expiré,In progress,Medium,[]
96,23/09/2026,12:50,Incident,Problème de démarrage après MAJ,Échec démarrage,New,High,"[""PC-LAB-009"",""TL-BIB-001"",""TL-FORM-002"",""MN-ADM-001""]"
97,24/09/2026,09:15,Demande,Transfert de données,Backup utilisateur,In progress,Medium,"[""PC-BIB-002"",""PC-BIB-004"",""PC-COMPTA-002"",""PC-FORM-005"",""MN-FORM-004""]"
98,25/09/2026,14:45,Incident,Réseau coupé,Pas d'accès Internet,Closed,High,[]
99,26/09/2026,08:30,Incident,Clavier défectueux,Touches collées,New,Low,"[""PC-BIB-005"",""PC-COMPTA-004"",""PC-BIB-003""]"
100,27/09/2026,11:00,Demande,Mise à jour Windows,Programmer mise à jour,In progress,Medium,"[""PC-LAB-009"",""PC-ADM-004"",""TL-LAB-001"",""MN-COMPTA-001"",""MN-COMPTA-002""]"
